,ic_id,ic_step,ic_maker,ic_category,ic_type1,ic_type2,ic_data,ic_time
0,28526,step4,samsung,Galaxy J7 2016,골드,all,1,20210405114318
1,27485,step4,samsung,Galaxy A9 Pro,앱솔루트 블랙,all,3,20210405114318
2,27484,step4,samsung,Galaxy A9 Pro,앱솔루트 블랙,128,3,20210405114318
3,28574,step4,apple,iphone7 Plus,실버,256,1,20210405114318
4,27584,step2,samsung,Galaxy A3,Galaxy A3,,3,20210405114318
5,28083,step4,samsung,Galaxy S21,팬텀 그레이,all,44,20210405114318
6,27586,step3,lg,X6 2019,64,,2,20210405114318
7,25612,step4,samsung,Galaxy Z Flip,미러 골드,all,6,20210405114318
8,28464,step4,apple,iphone5s,골드,64,2,20210405114318
9,27693,step4,apple,iphone7 Plus,블랙,32,1,20210405114318
10,24647,step4,apple,iphone6s,골드,128,8,20210405114318
11,16913,step3,lg,V40 ThinQ,128,,143,20210405114318
12,16912,step2,lg,V40 ThinQ,V40 ThinQ,,173,20210405114318
13,28468,step3,lg,V30s ThinQ,128,,1,20210405114318
14,27643,step4,apple,iphone12 Pro Max,골드,256,17,20210405114318
15,27644,step4,apple,iphone12 Pro Max,퍼시픽블루,256,28,20210405114318
16,27582,step4,samsung,GalaxyNote5,실버,32,8,20210405114318
17,16908,step2,lg,V50s ThinQ,V50s ThinQ,,255,20210405114318
18,16909,step3,lg,V50s ThinQ,256,,174,20210405114318
19,16906,step4,lg,V50 ThinQ,아스트로 블랙,128,15,20210405114318
20,16907,step4,lg,V50 ThinQ,아스트로 블랙,all,17,20210405114318
21,16905,step3,lg,V50 ThinQ,128,,221,20210405114318
22,16903,step2_group,lg,v_series,v_series,,969,20210405114318
23,16904,step2,lg,V50 ThinQ,V50 ThinQ,,369,20210405114318
24,27701,step4,samsung,GalaxyS9,코랄 블루,all,11,20210405114318
25,16900,step3,lg,Q51,32,,36,20210405114318
26,28525,step4,samsung,Galaxy J7 2016,골드,16,1,20210405114318
27,16899,step2,lg,Q51,Q51,,88,20210405114318
28,27581,step4,samsung,GalaxyNote8,메이플 골드,64,3,20210405114318
29,16896,step3,lg,Q6,32,,10,20210405114318
30,27526,step3,samsung,Galaxy J5,16,,6,20210405114318
31,16895,step2,lg,Q6,Q6,,68,20210405114318
32,27700,step4,samsung,GalaxyS9,코랄 블루,64,10,20210405114318
33,28573,step4,lg,G5,핑크,all,1,20210405114318
34,28452,step4,lg,Q51,문라이트 티탄,32,1,20210405114318
35,27653,step2,apple,iphone12 Mini,iphone12 Mini,,498,20210405114318
36,26739,step4,lg,G6 ThinQ,아이스 플래티넘,64,5,20210405114318
37,26730,step4,apple,iphone11 Pro Max,실버,256,3,20210405114318
38,26731,step4,apple,iphone11 Pro Max,실버,all,6,20210405114318
39,16889,step2,lg,Q7,Q7,,31,20210405114318
40,27482,step3,samsung,Galaxy J7 2016,16,,1,20210405114318
41,27527,step4,samsung,Galaxy J5,화이트,16,2,20210405114318
42,27297,step4,apple,iphone11 Pro Max,스페이스 그레이,64,10,20210405114318
43,16885,step3,lg,Q9,64,,39,20210405114318
44,16884,step2,lg,Q9,Q9,,50,20210405114318
45,16883,step2_group,lg,q_series,q_series,,585,20210405114318
46,27580,step4,samsung,Galaxy S20,클라우드 핑크,all,9,20210405114318
47,27579,step4,samsung,Galaxy S20,클라우드 핑크,128,9,20210405114318
48,28508,step4,lg,Wine Smart 3G,블랙,4,1,20210405114318
49,27481,step2,samsung,Galaxy J7 2016,Galaxy J7 2016,,2,20210405114318
50,27679,step4,samsung,Galaxy Fold2,미스틱 블랙,all,10,20210405114318
51,27642,step4,apple,iphone12 Pro Max,실버,256,22,20210405114318
52,27641,step4,apple,iphone12 Pro Max,그래파이트,256,30,20210405114318
53,26871,step4,apple,iphone5s,골드,16,6,20210405114318
54,26860,step4,apple,iphone4s,화이트,all,4,20210405114318
55,26861,step4,samsung,GalaxyS10 Plus,프리즘 블랙,512,2,20210405114318
56,27678,step4,samsung,Galaxy Fold2,미스틱 브론즈,all,28,20210405114318
57,27480,step4,samsung,GalaxyNote20 Ultra  ,미스틱 블랙,256,6,20210405114318
58,28576,step3,lg,K10,8,,1,20210405114318
59,19157,step4,lg,VELVET,오로라 그레이,128,13,20210405114318
60,27699,step4,samsung,GalaxyJean2,화이트,32,2,20210405114318
61,28291,step4,samsung,Galaxy A31,프리즘 크러시 블루,all,1,20210405114318
62,19160,step4,lg,VELVET,오로라 화이트,all,19,20210405114318
63,19161,step4,lg,VELVET,오로라 그레이,all,17,20210405114318
64,28469,step3,samsung,GalaxyS3 LTE,16,,1,20210405114318
65,28467,step4,lg,Gx,블랙,all,1,20210405114318
66,28616,step4,apple,iphone6s Plus,실버,128,1,20210405114318
67,28575,step4,apple,iphoneSE,골드,16,1,20210405114318
68,26858,step2,lg,G3.Cat6,G3.Cat6,,5,20210405114318
69,28384,step2,samsung,Galaxy J3 2016,Galaxy J3 2016,,1,20210405114318
70,28466,step4,lg,Gx,블랙,32,1,20210405114318
71,26940,step4,apple,iphoneSE,로즈골드,32,8,20210405114318
72,25236,step4,samsung,GalaxyNote7,골드,all,4,20210405114318
73,28615,step4,apple,iphone11 Pro,미드나이트 그린,64,1,20210405114318
74,28460,step4,samsung,Galaxy A40,화이트,all,1,20210405114318
75,23635,step4,samsung,Galaxy A8 2018,골드,all,3,20210405114318
76,27640,step3,apple,iphone12 Pro Max,256,,123,20210405114318
77,28507,step3,lg,Wine Smart 3G,4,,1,20210405114318
78,27577,step3,apple,iphone6,128,,5,20210405114318
79,28329,step4,lg,VELVET,오로라 그린,all,4,20210405114318
80,26850,step4,lg,G8 ThinQ,카민 레드,all,3,20210405114318
81,25788,step2,lg,X6 2019,X6 2019,,2,20210405114318
82,27575,step4,apple,iphone6s Plus,골드,16,2,20210405114318
83,26367,step4,apple,iphoneXr,블루,64,11,20210405114318
84,25791,step4,apple,iphone6,스페이스 그레이,64,5,20210405114318
85,27603,step4,apple,iphone12,그린,128,11,20210405114318
86,26986,step4,lg,V30,모로칸 블루,64,3,20210405114318
87,26987,step4,lg,V30,모로칸 블루,all,3,20210405114318
88,27677,step4,samsung,Galaxy Fold2,미스틱 브론즈,256,20,20210405114318
89,27288,step4,samsung,GalaxyS10 5G,마제스틱 블랙,512,6,20210405114318
90,27639,step4,apple,iphone12 Pro Max,퍼시픽블루,128,17,20210405114318
91,27638,step4,apple,iphone12 Pro Max,실버,128,15,20210405114318
92,25246,step2,samsung,Galaxy A8 2016,Galaxy A8 2016,,4,20210405114318
93,27676,step3,samsung,Galaxy Fold2,256,,69,20210405114318
94,19154,step2,lg,VELVET,VELVET,,226,20210405114318
95,19155,step3,lg,VELVET,128,,157,20210405114318
96,19156,step4,lg,VELVET,오로라 화이트,128,13,20210405114318
97,27637,step4,apple,iphone12 Pro Max,그래파이트,128,23,20210405114318
98,26851,step2,lg,G Pro2,G Pro2,,2,20210405114318
99,28254,step4,lg,X500,골드,32,2,20210405114318
100,28047,step4,samsung,Galaxy A7 2016,블랙,all,4,20210405114318
101,27406,step4,apple,iphoneSE,골드,128,3,20210405114318
102,24468,step4,apple,iphone6,실버,64,9,20210405114318
103,27686,step4,lg,LG Q92,세라믹 화이트,all,6,20210405114318
104,24629,step3,apple,iphone6 Plus,64,,11,20210405114318
105,27685,step4,lg,LG Q92,미러 레드,128,11,20210405114318
106,27573,step4,apple,iphone7 Plus,제트블랙,256,1,20210405114318
107,27574,step4,apple,iphone7 Plus,RED,256,2,20210405114318
108,26841,step4,samsung,GalaxyS10 Plus,세라믹 화이트,512,5,20210405114318
109,28603,step4,apple,iphone5c,핑크,all,1,20210405114318
110,27905,step4,samsung,GalaxyGrand,화이트,all,1,20210405114318
111,27635,step2,apple,iphone12 Pro Max,iphone12 Pro Max,,335,20210405114318
112,25878,step4,samsung,Galaxy S20 Plus,아우라 블루,256,3,20210405114318
113,27567,step3,lg,V10,64,,3,20210405114318
114,26836,step2,lg,Q8 2018,Q8 2018,,2,20210405114318
115,28459,step4,samsung,Galaxy A40,화이트,64,1,20210405114318
116,24628,step2,apple,iphone6 Plus,iphone6 Plus,,31,20210405114318
117,24469,step3,apple,iphone5s,16,,19,20210405114318
118,27675,step2,samsung,Galaxy Fold2,Galaxy Fold2,,186,20210405114318
119,26833,step4,samsung,Galaxy A6 2018,라벤더,all,3,20210405114318
120,27636,step3,apple,iphone12 Pro Max,128,,114,20210405114318
