,ppl_id,ppl_maker,ppl_group,ppl_model_code,ppl_name,ppl_model_name,ppl_storage,ppl_class,ppl_hidden,ppl_average,ppl_average_date,ppl_average_old,ppl_average_old_date
0,1,apple,apple,A2221,아이폰11,iphone11,64,S,0,663666,2021-05-11 17:42:10,648454,2021-05-11 06:37:12
1,2,apple,apple,A2221,아이폰11,iphone11,64,A,0,669000,2021-05-11 17:42:10,669000,2021-05-11 06:37:12
2,3,apple,apple,A2221,아이폰11,iphone11,64,B,2,614363,2021-05-11 17:42:10,583777,2021-05-11 06:37:12
3,4,apple,apple,A2221,아이폰11,iphone11,64,N,2,532275,2021-05-10 16:11:57,532419,2021-05-10 12:39:43
4,5,apple,apple,A2221,아이폰11,iphone11,128,S,0,698000,2021-05-11 17:42:10,675176,2021-05-11 06:37:12
5,6,apple,apple,A2221,아이폰11,iphone11,128,A,0,699777,2021-05-11 17:42:10,685800,2021-05-11 06:37:12
6,7,apple,apple,A2221,아이폰11,iphone11,128,B,2,677666,2021-05-11 17:42:10,677200,2021-05-11 06:37:12
7,8,apple,apple,A2221,아이폰11,iphone11,128,N,2,584153,2021-05-10 16:11:58,588815,2021-05-10 12:39:44
8,9,apple,apple,A2221,아이폰11,iphone11,256,S,0,776000,2021-05-11 17:42:10,750800,2021-05-11 06:37:12
9,10,apple,apple,A2221,아이폰11,iphone11,256,A,0,774000,2021-05-11 17:42:10,774000,2021-05-11 06:37:12
10,11,apple,apple,A2221,아이폰11,iphone11,256,B,2,479000,2021-05-10 16:11:58,479000,2021-05-10 12:39:44
11,12,apple,apple,A2221,아이폰11,iphone11,256,N,2,608000,2021-05-10 16:11:58,613888,2021-05-10 12:39:44
12,13,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,64,S,0,977105,2021-05-11 17:42:10,970842,2021-05-11 06:37:12
13,14,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,64,A,0,900650,2021-05-11 17:42:10,873000,2021-05-11 06:37:12
14,15,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,64,B,2,733500,2021-05-11 17:42:10,706421,2021-05-11 06:37:12
15,16,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,64,N,2,623077,2021-05-10 16:11:59,617464,2021-05-10 12:39:45
16,17,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,256,S,0,854153,2021-05-11 17:42:10,795052,2021-05-11 06:37:12
17,18,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,256,A,0,907714,2021-05-11 17:42:10,777600,2021-05-11 06:37:12
18,19,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,256,B,2,810333,2021-05-11 17:42:10,801133,2021-05-11 06:37:12
19,20,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,256,N,2,742265,2021-05-10 16:12:00,741326,2021-05-10 12:39:46
20,21,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,512,S,0,1209000,2021-05-11 17:42:10,1233000,2021-05-10 15:31:34
21,22,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,512,A,0,1083000,2021-05-10 15:31:34,850000,2021-05-10 16:12:00
22,23,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,512,B,2,589000,2021-05-10 16:12:00,589000,2021-05-10 12:39:46
23,24,apple,apple,A2215,아이폰11 Pro,iphone11 Pro,512,N,2,830000,2021-05-10 16:12:00,830000,2021-05-10 12:39:46
24,25,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,64,S,0,850000,2021-05-11 17:42:10,850000,2021-05-11 06:37:12
25,26,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,64,A,0,790000,2021-05-11 17:42:10,790000,2021-05-11 06:37:12
26,27,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,64,B,2,850000,2021-05-11 17:42:10,850000,2021-05-11 06:37:12
27,28,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,64,N,2,757823,2021-05-10 16:12:01,780285,2021-05-10 12:39:47
28,29,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,256,S,0,948315,2021-05-10 16:12:01,932533,2021-05-10 12:39:47
29,30,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,256,A,0,890000,2021-05-11 17:42:10,890000,2021-05-11 06:37:12
30,31,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,256,B,2,1450000,2021-05-11 17:42:10,1450000,2021-05-11 06:37:12
31,32,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,256,N,2,867638,2021-05-10 16:12:02,866721,2021-05-10 12:39:47
32,33,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,512,S,0,948333,2021-05-10 16:12:02,942000,2021-05-10 12:39:47
33,34,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,512,A,0,976000,2021-05-10 16:12:02,977500,2021-05-10 12:39:47
34,35,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,512,B,2,950000,2021-05-11 17:42:10,950000,2021-05-11 06:37:12
35,36,apple,apple,A2218,아이폰11 Pro Max,iphone11 Pro Max,512,N,2,1068333,2021-05-10 16:12:02,1074000,2021-05-10 12:39:48
36,37,apple,apple,A2097,아이폰Xs,iphoneXs,64,S,0,541413,2021-05-11 17:42:10,507431,2021-05-11 06:37:12
37,38,apple,apple,A2097,아이폰Xs,iphoneXs,64,A,0,485810,2021-05-11 17:42:10,456733,2021-05-11 06:37:12
38,39,apple,apple,A2097,아이폰Xs,iphoneXs,64,B,2,497161,2021-05-11 17:42:10,478146,2021-05-11 06:37:12
39,40,apple,apple,A2097,아이폰Xs,iphoneXs,64,N,2,316225,2021-05-10 16:12:03,316150,2021-05-10 12:39:48
40,41,apple,apple,A2097,아이폰Xs,iphoneXs,256,S,0,659340,2021-05-11 17:42:10,659340,2021-05-11 06:37:12
41,42,apple,apple,A2097,아이폰Xs,iphoneXs,256,A,0,586861,2021-05-11 17:42:10,623745,2021-05-11 06:37:12
42,43,apple,apple,A2097,아이폰Xs,iphoneXs,256,B,2,513288,2021-05-11 17:42:10,471568,2021-05-11 06:37:12
43,44,apple,apple,A2097,아이폰Xs,iphoneXs,256,N,2,373381,2021-05-10 16:12:03,370760,2021-05-10 12:39:49
44,45,apple,apple,A2097,아이폰Xs,iphoneXs,512,S,1,0,2021-05-10 16:12:04,0,2021-05-10 12:39:49
45,46,apple,apple,A2097,아이폰Xs,iphoneXs,512,A,0,433333,2021-05-10 16:12:04,433333,2021-05-10 12:39:49
46,47,apple,apple,A2097,아이폰Xs,iphoneXs,512,B,2,313000,2021-05-10 16:12:04,313000,2021-05-10 12:39:49
47,48,apple,apple,A2097,아이폰Xs,iphoneXs,512,N,2,493030,2021-05-10 16:12:04,494062,2021-05-10 12:39:50
48,49,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,64,S,0,708900,2021-05-11 17:42:10,708900,2021-05-11 06:37:12
49,50,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,64,A,0,683900,2021-05-11 17:42:10,683900,2021-05-11 06:37:12
50,51,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,64,B,2,595280,2021-05-11 17:42:10,505600,2021-05-11 06:37:12
51,52,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,64,N,2,451806,2021-05-10 16:12:05,456518,2021-05-10 12:39:50
52,53,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,256,S,0,754333,2021-05-11 17:42:10,754333,2021-05-11 06:37:12
53,54,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,256,A,0,758900,2021-05-11 17:42:10,758900,2021-05-11 06:37:12
54,55,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,256,B,2,652546,2021-05-11 17:42:10,639431,2021-05-11 06:37:12
55,56,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,256,N,2,547224,2021-05-10 16:12:05,552767,2021-05-10 12:39:51
56,57,apple,apple,A2101,아이폰Xs Max,iphoneXs Max,512,S,0,550000,2021-05-10 16:12:05,550000,2021-05-10 12:39:51
