,psc_id,pl_ori_color,pl_color_name,pl_search_name
0,184,0,실키 레드,실키 레드|실키레드|실키 래드|실키래드
1,2,1,골드,골드|금색
2,3,0,골드 플래티넘,골드 플래티넘|골드플래티넘|골드 플레티넘|골드플레티넘
3,4,1,그레이,그레이|그래이|회색|쥐색
4,5,1,그린,그린|초록|녹색
5,6,0,그린 에메랄드,그린 에메랄드|그린에메랄드|에메랄드
6,7,1,네이비,네이비|내이비|남색|군청
7,8,0,뉴 모로칸 블루,뉴 모로칸 블루|뉴모로칸 블루|뉴 모로칸블루|뉴모로칸블루
8,9,0,뉴 오로라 블랙,뉴 오로라 블랙|뉴오로라 블랙|뉴 오로라블랙|뉴오로라블랙
9,10,0,뉴 플래티넘 그레이,뉴 플래티넘 그레이|뉴플래티넘 그레이|뉴 플래티넘그레이|뉴플래티넘그레이
10,11,0,뉴 플래티넘 블루,뉴 플래티넘 블루|뉴플래티넘 블루|뉴 플래티넘블루|뉴플래티넘블루
11,12,0,다즐링 화이트,다즐링 화이트|다즐링화이트
12,13,0,다크 블루,다크 블루|다크블루
13,14,0,딥씨 블루,딥씨 블루|딥씨블루
14,15,1,라벤더,라벤더|퍼플|보라
15,16,0,라벤더 바이올렛,라벤더 바이올렛|라벤더바이올렛|라밴더 바이올렛|라밴더바이올렛|라벤더 바이올렛|라밴더바이올렛|라밴더 바이올렛|라벤더바이올렛
16,17,0,라벤더 퍼플,라벤더 퍼플|라벤더퍼플|라밴더 퍼플|라밴더퍼플
17,18,0,라일락 퍼플,라일락 퍼플|라일락퍼플
18,19,0,라즈베리 로즈,라즈베리 로즈|라즈베리로즈|라즈배리 로즈|라즈배리로즈
19,20,0,럭셔리 브라운,럭셔리 브라운|럭셔리브라운
20,21,0,럭스 화이트,럭스 화이트|럭스화이트
21,22,1,레드,레드|래드|RED|빨간|빨강
22,23,0,레모네이드 블루,레모네이드 블루|레모네이드블루
23,24,0,로얄 골드,로얄 골드|로얄골드|로열 골드|로열골드
24,25,1,로즈,로즈
25,26,0,로즈골드,로즈골드|로즈 골드
26,27,0,마린 블루,마린 블루|마린블루
27,28,0,마블 화이트,마블 화이트|마블화이트
28,29,0,마제스틱 블랙,마제스틱 블랙|마제스틱블랙|마제스틱 블렉|마제스틱블렉|마재스틱 블랙|마재스틱블랙|마재스틱 블렉|마재스틱블렉
29,30,0,메이플 골드,메이플 골드|메이플골드
30,31,0,메탈릭 그레이,메탈릭 그레이|메탈릭그레이|메탈릭 그래이|메탈릭그래이
31,32,0,메탈릭 블랙,메탈릭 블랙|메탈릭블랙|메탈릭 블렉|메탈릭블렉
32,33,0,메탈릭 코퍼,메탈릭 코퍼|메탈릭코퍼
33,34,0,모던 베이지,모던 베이지|모던베이지
34,35,0,모로칸 블루,모로칸 블루|모로칸블루
35,36,0,문 바이올렛,문 바이올렛|문바이올렛|문 바이올랫|문바이올랫
36,37,0,미드나이트 그린,미드나이트 그린|미드나이트그린
37,38,0,미드나잇 블랙,미드나잇 블랙|미드나잇블랙|미드나잇 블렉|미드나잇블렉
38,39,0,미스틱 화이트,미스틱 화이트|미스틱화이트
39,40,0,민트 레몬,민트 레몬|민트레몬
40,41,0,버건디 레드,버건디 레드|버건디레드|버건디 래드|버건디래드
41,42,0,버블검 핑크,버블검 핑크|버블검핑크
42,43,0,베리 핑크,베리 핑크|베리핑크|배리 핑크|배리핑크
43,44,1,베이지,베이지|배이지
44,45,1,브라운,브라운|갈색
45,46,0,브론즈 골드,브론즈 골드
46,47,1,블랙,블랙|블렉|검정|검은
47,48,0,블랙 미스트,블랙 미스트|블랙미스트|블렉 미스트|블렉미스트
48,49,0,블랙 사파이어,블랙 사파이어|블랙사파이어|블렉 사파이어|블렉사파이어
49,50,0,블랙 스카이,블랙 스카이|블랙스카이|블렉 스카이|블렉스카이
50,51,0,블랙 오닉스,블랙 오닉스|블랙오닉스|블렉 오닉스|블렉오닉스
51,52,0,블러쉬 핑크,블러쉬 핑크|블러쉬핑크
52,53,0,블로섭 핑크,블로섭 핑크|블로섭핑크|블로섬 핑크|블로섬핑크|블로썸 핑크|블로썸핑크
53,54,1,블루,블루|파랑|파란
54,55,0,블루 미스트,블루 미스트|블루미스트
55,56,0,블루 블랙,블루 블랙|블루블랙|블루 블렉|블루블렉
56,57,0,블루 실버,블루 실버|블루실버
57,58,0,블루 코랄,블루 코랄|블루코랄
58,59,0,블루 토파즈,블루 토파즈|블루토파즈
59,60,0,샤인 골드,샤인 골드|샤인골드
60,61,0,샴페인 골드,샴페인 골드|샴페인골드
61,62,0,선라이즈 골드,선라이즈 골드|선라이즈골드
