,id,it_category,it_maker,it_group,it_model,it_original_price,it_star,it_spec,it_color,it_storage,it_class,it_count,it_count_index,it_count_value
0,1,스마트폰,lg,lg,LG-F370,0,0,,블랙,4,S,0,,
1,2,스마트폰,lg,lg,LG-F370,0,0,,블랙,4,A,0,,
2,3,스마트폰,lg,lg,LG-F370,0,0,,블랙,4,B,0,,
3,4,스마트폰,lg,lg,LG-F370,0,0,,블랙,4,N,0,,
4,5,스마트폰,lg,lg,LG-F370,0,0,,화이트,4,S,0,,
5,6,스마트폰,lg,lg,LG-F370,0,0,,화이트,4,A,0,,
6,7,스마트폰,lg,lg,LG-F370,0,0,,화이트,4,B,0,,
7,8,스마트폰,lg,lg,LG-F370,0,0,,화이트,4,N,0,,
8,9,스마트폰,lg,lg,LG-F370,0,0,,N,4,S,0,,
9,10,스마트폰,lg,lg,LG-F370,0,0,,N,4,A,0,,
10,11,스마트폰,lg,lg,LG-F370,0,0,,N,4,B,0,,
11,12,스마트폰,lg,lg,LG-F370,0,0,,N,4,N,0,,
12,13,스마트폰,lg,lg,LG-F370,0,0,,블랙,8,S,0,,
13,14,스마트폰,lg,lg,LG-F370,0,0,,블랙,8,A,0,,
14,15,스마트폰,lg,lg,LG-F370,0,0,,블랙,8,B,0,,
15,16,스마트폰,lg,lg,LG-F370,0,0,,블랙,8,N,0,,
16,17,스마트폰,lg,lg,LG-F370,0,0,,화이트,8,S,0,,
17,18,스마트폰,lg,lg,LG-F370,0,0,,화이트,8,A,0,,
18,19,스마트폰,lg,lg,LG-F370,0,0,,화이트,8,B,0,,
19,20,스마트폰,lg,lg,LG-F370,0,0,,화이트,8,N,0,,
20,21,스마트폰,lg,lg,LG-F370,0,0,,N,8,S,0,,
21,22,스마트폰,lg,lg,LG-F370,0,0,,N,8,A,0,,
22,23,스마트폰,lg,lg,LG-F370,0,0,,N,8,B,0,,
23,24,스마트폰,lg,lg,LG-F370,0,0,,N,8,N,0,,
24,25,스마트폰,lg,lg,LG-F370,0,0,,블랙,N,S,0,,
25,26,스마트폰,lg,lg,LG-F370,0,0,,블랙,N,A,0,,
26,27,스마트폰,lg,lg,LG-F370,0,0,,블랙,N,B,0,,
27,28,스마트폰,lg,lg,LG-F370,0,0,,블랙,N,N,0,,
28,29,스마트폰,lg,lg,LG-F370,0,0,,화이트,N,S,0,,
29,30,스마트폰,lg,lg,LG-F370,0,0,,화이트,N,A,0,,
30,31,스마트폰,lg,lg,LG-F370,0,0,,화이트,N,B,0,,
31,32,스마트폰,lg,lg,LG-F370,0,0,,화이트,N,N,0,,
32,33,스마트폰,lg,lg,LG-F370,0,0,,N,N,S,0,,
33,34,스마트폰,lg,lg,LG-F370,0,0,,N,N,A,0,,
34,35,스마트폰,lg,lg,LG-F370,0,0,,N,N,B,0,,
35,36,스마트폰,lg,lg,LG-F370,0,0,,N,N,N,0,,
36,37,스마트폰,lg,g_series,LG-F340,0,0,,티탄 실버,32,S,0,,
37,38,스마트폰,lg,g_series,LG-F340,0,0,,티탄 실버,32,A,0,,
38,39,스마트폰,lg,g_series,LG-F340,0,0,,티탄 실버,32,B,0,,
39,40,스마트폰,lg,g_series,LG-F340,0,0,,티탄 실버,32,N,0,,
40,41,스마트폰,lg,g_series,LG-F340,0,0,,N,32,S,0,,
41,42,스마트폰,lg,g_series,LG-F340,0,0,,N,32,A,0,,
42,43,스마트폰,lg,g_series,LG-F340,0,0,,N,32,B,0,,
43,44,스마트폰,lg,g_series,LG-F340,0,0,,N,32,N,0,,
44,45,스마트폰,lg,g_series,LG-F340,0,0,,티탄 실버,N,S,0,,
45,46,스마트폰,lg,g_series,LG-F340,0,0,,티탄 실버,N,A,0,,
46,47,스마트폰,lg,g_series,LG-F340,0,0,,티탄 실버,N,B,0,,
47,48,스마트폰,lg,g_series,LG-F340,0,0,,티탄 실버,N,N,0,,
48,49,스마트폰,lg,g_series,LG-F340,0,0,,N,N,S,4,coupang,4
49,50,스마트폰,lg,g_series,LG-F340,0,0,,N,N,A,5,coupang,5
50,51,스마트폰,lg,g_series,LG-F340,0,0,,N,N,B,8,bunjang|coupang,3|5
51,52,스마트폰,lg,g_series,LG-F340,0,0,,N,N,N,0,,
52,53,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,16,S,0,,
53,54,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,16,A,0,,
54,55,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,16,B,0,,
55,56,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,16,N,0,,
56,57,스마트폰,lg,g_series,LG-F510,0,0,,플라멩코 레드,16,S,0,,
57,58,스마트폰,lg,g_series,LG-F510,0,0,,플라멩코 레드,16,A,0,,
58,59,스마트폰,lg,g_series,LG-F510,0,0,,플라멩코 레드,16,B,0,,
59,60,스마트폰,lg,g_series,LG-F510,0,0,,플라멩코 레드,16,N,0,,
60,61,스마트폰,lg,g_series,LG-F510,0,0,,N,16,S,0,,
61,62,스마트폰,lg,g_series,LG-F510,0,0,,N,16,A,0,,
62,63,스마트폰,lg,g_series,LG-F510,0,0,,N,16,B,0,,
63,64,스마트폰,lg,g_series,LG-F510,0,0,,N,16,N,0,,
64,65,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,32,S,0,,
65,66,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,32,A,0,,
66,67,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,32,B,0,,
67,68,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,32,N,0,,
68,69,스마트폰,lg,g_series,LG-F510,0,0,,플라멩코 레드,32,S,0,,
69,70,스마트폰,lg,g_series,LG-F510,0,0,,플라멩코 레드,32,A,0,,
70,71,스마트폰,lg,g_series,LG-F510,0,0,,플라멩코 레드,32,B,0,,
71,72,스마트폰,lg,g_series,LG-F510,0,0,,플라멩코 레드,32,N,0,,
72,73,스마트폰,lg,g_series,LG-F510,0,0,,N,32,S,0,,
73,74,스마트폰,lg,g_series,LG-F510,0,0,,N,32,A,0,,
74,75,스마트폰,lg,g_series,LG-F510,0,0,,N,32,B,0,,
75,76,스마트폰,lg,g_series,LG-F510,0,0,,N,32,N,0,,
76,77,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,64,S,0,,
77,78,스마트폰,lg,g_series,LG-F510,0,0,,플래티넘 실버,64,A,0,,
